"Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escape.End.Time","Escape.Grid.Reference","Escaped.Species","Stage","Age","Average.Weight","Initial.Date.of.Escape","Initial.Number.Escaped","Initial.Escape.Reason","Final.Date.of.Escape","Final.Number.Escaped","Final.Number.Recovered","Final.Escape.Reason","Marine.Scotland.Site.ID","Date.Registered","Site.Name","National.Grid.Reference","Local.Authority","Producing.in.Last.3.Years","Site.Address.1","Site.Address.2","Site.Address.3","Site.Post.Code","Site.Contact.Number","Aquaculture.Type","Water.Type","Health.Surveillance","Easting","Northing","MS.Management.Area","Region","Operator","Species"
"2000403","scottish sea farms ltd","s","23-jan-14",NA,"23-jan-14",NA,"atlantic salmon","grower fish (salmon only)",NA,NA,"23-jan-14","1","human error - hum","28-jan-14","1","0","human error - hum","fs0608","05-jul-95","vidlin north","hu485676","shetland","yes","c/o blackness pier","scalloway","shetland","ze1 0tq","01595 881002","fish","seawater","medium","448500","1167600","2a - vidlin voe, dury voe, w whalsay","shetland","scottish sea farms ltd","lumpsucker, atlantic salmon, wrasse"
"2000483","grieg seafood shetland ltd","s","06-jan-19",NA,"06-jan-19","ng227523","atlantic salmon","grower fish (salmon only)","14 months","3.2 kg","08-jan-19","0","predator - prd","28-oct-19","0","0","predator - prd","fs1287","28-may-14","corlarach","ng227523","highland","yes","dunvegan pier","dunvegan","skye","iv55 8wf","01470 521465","fish","seawater","medium","122700","852300","12b - dunvegan","highland","grieg seafood shetland ltd","atlantic salmon, lumpsucker, wrasse"
"2000485","grieg seafood shetland ltd","s","09-jan-19","14:00","09-jan-19","ng227523","atlantic salmon","grower fish (salmon only)","17 s0's","3.2 kilos","04-mar-19","0","predator - prd","28-oct-19","est - 4000","0","predator - prd","fs1287","28-may-14","corlarach","ng227523","highland","yes","dunvegan pier","dunvegan","skye","iv55 8wf","01470 521465","fish","seawater","medium","122700","852300","12b - dunvegan","highland","grieg seafood shetland ltd","wrasse, atlantic salmon, lumpsucker"
"2000500","mowi scotland ltd","s","08-nov-19","09:30",NA,"nr434967","atlantic salmon","grower fish (salmon only)","2019 q2","1.3kg","14-nov-19","0","weather - wth","26-nov-19","none","none","predator - prd","fs1296","09-apr-15","colonsay","nr434968","argyll and bute","yes","c/o stob ban house","glen nevis business park","fort william","ph33 6rx","01397 715032","fish","seawater","low","143400","696800","16e - colonsay","strathclyde","mowi scotland ltd","wrasse, lumpsucker, atlantic salmon"
"2000510","the scottish salmon company","s","28-feb-20",NA,"28-feb-20",NA,"atlantic salmon","grower fish (salmon only)",NA,"2.2","02-mar-20","0","equipment wear and tear - eqw","25-mar-20","0","0","equipment wear and tear - eqw","fs0752","07-oct-92","taranaish","nb177372","western isles","yes","breasclete pier","breasclete","isle of lewis","hs2 9ed","01546 602172","fish","seawater","medium","117700","937200","6a - loch roag","western isles","the scottish salmon company","wrasse, atlantic salmon, lumpsucker"
"2000218","lighthouse caledonia ltd","s","30-nov-08",NA,"30-nov-08","nb177372","atlantic salmon","grower fish (salmon only)","18 months","3 kg","16-jan-09","0","no actual escape of fish - nes","16-jan-09","0","0","no actual escape of fish - nes","fs0752","07-oct-92","taranaish","nb177372","western isles","yes","breasclete pier","breasclete","isle of lewis","hs2 9ed","01546 602172","fish","seawater","medium","117700","937200","6a - loch roag","western isles","the scottish salmon company","lumpsucker, atlantic salmon, wrasse"
"2000203","lighthouse caledonia ltd","s","29-aug-08","12:00","29-aug-08",NA,"atlantic salmon","grower fish (salmon only)","16 months","3 kg","29-aug-08","7437","hole in net - hol","18-sep-08","7437","0","hole in net - hol","fs0752","07-oct-92","taranaish","nb177372","western isles","yes","breasclete pier","breasclete","isle of lewis","hs2 9ed","01546 602172","fish","seawater","medium","117700","937200","6a - loch roag","western isles","the scottish salmon company","wrasse, lumpsucker, atlantic salmon"
"2000227","west minch salmon ltd","f","18-may-09",NA,"18-may-09","nb367729","atlantic salmon","salmon fresh water stages","12 months","60g","25-may-09","30 approx","no actual escape of fish - nes","29-jul-09","0","80 - 100","no actual escape of fish - nes","fs0762","23-feb-94","loch sandavat (loch sanndabhat)","nb366278","western isles","no","seafield","isle of scalpay","western isles","hs4 3xz","01859 540250","fish","freshwater","low","136600","927800","not in a management area","western isles","meavag fish farming","rainbow trout"
"2000472","grieg seafood shetland ltd","s","03-may-18","13:00","03-may-18",NA,"atlantic salmon","grower fish (salmon only)",NA,"900g","03-may-18","200","transfer pipe failure - trp","01-jun-18","200","0","transfer pipe failure - trp","fs0800","08-mar-93","leinish","ng204511","highland","yes","dunvegan pier","dunvegan","skye","iv55 8wf","01470 521465","fish","seawater","medium","120400","851100","12b - dunvegan","highland","grieg seafood shetland ltd","atlantic salmon, lumpsucker, wrasse"
"2000063","scottish sea farms ltd","s","11-jan-05",NA,"13-jan-05","ng791380","atlantic salmon","grower fish (salmon only)","4 months a","440 g","13-jan-05","35-40,000","weather - wth","10-feb-05","43,453","600","weather - wth","fs0804","20-apr-92","kishorn b (north)","ng791380","highland","yes","loch kishorn","strathcarron","ross-shire","iv54 8xb","01520 733237","fish","seawater","medium","179100","838000","14a - carron, kishorn, alsh, duich","highland","scottish sea farms ltd","lumpsucker, wrasse, atlantic salmon"
"2000304","the scottish salmon company","s","07-oct-11",NA,NA,NA,"atlantic salmon","salmon fresh water stages","10 months","80 g","07-oct-11","2500","human error - hum","26-oct-11","3317","0","human error - hum","fs0818","12-aug-93","ardcastle bay","nr953922","argyll and bute","yes","crarae","furnace","argyll","pa32 8ya","01546 602172","fish","seawater","medium","195300","692200","19a - fyne","strathclyde","the scottish salmon company","lumpsucker, atlantic salmon, wrasse"
"2000139","papil salmon farm ltd","s","13-dec-05",NA,NA,"hu393325","cod","fish weighing more than 5 grams","24 months","2700 g","22-dec-06","15,800","predator - prd","22-dec-06","15,800","0","predator - prd","fs0850","27-mar-95","lippie geo","hu393325","shetland","no","north house","taing burra isle","shetland","n/a","01595 881002","fish","seawater","medium","439300","1132500","3a - sw shetland mainland","shetland","scottish sea farms ltd","wrasse, atlantic salmon, lumpsucker"
"2000102","stolt sea farm ltd.","s","27-aug-03","16:00",NA,"nf938701","atlantic salmon","grower fish (salmon only)","9 mths sw","1.1 kg","01-sep-03","500","equipment damage - eqd","27-aug-03","500","0","equipment damage - eqd","fs0853","13-jun-95","lochmaddy","nf943700","western isles","yes","hebrides office","the pier, lochmaddy","north uist","hs6 5aa","01971 502451","fish","seawater","low","94300","870000","5c - e north uist","western isles","loch duart ltd","wrasse, atlantic salmon, lumpsucker"
"2000491","grieg seafood shetland ltd","s","22-may-19","09:40","22-may-19","ng 384624","atlantic salmon","grower fish (salmon only)","12 months","70g","22-may-19","500","human error - hum","14-jun-19","500","0","human error - hum","fs0881","26-aug-96","uig","ng384624","highland","yes","shore base","uig","skye","iv51 9xx","01470 542358","fish","seawater","medium","138400","862400","12a - snizort","highland","grieg seafood shetland ltd","lumpsucker, atlantic salmon"
"2000525","migdale smolts ltd","f","22-sep-20","11:00","22-sep-20","nc 399 236","atlantic salmon","fish weighing more than 5 grams","parr","30g","30-oct-20","0","hole in net - hol","30-oct-20","0","1","hole in net - hol","fs0890","01-nov-96","jubilee loch shin","nc394242","highland","yes","loch shin","overscaig jubilee plantation","by lairg, sutherland","iv27 4ny","01863 766170","fish","freshwater","medium","239400","924200","not in a management area","highland","migdale smolts ltd","atlantic salmon"
"2000400","scottish sea farms ltd","s","25-nov-13","15:35","25-nov-13","nm829414","atlantic salmon","grower fish (salmon only)","33 months","7.8kg","26-nov-13","0","no actual escape of fish - nes","16-dec-13","0","0","no actual escape of fish - nes","fs0914","01-jan-98","lismore west","nm822408","argyll and bute","yes","port nan ladaig","lismore","lochlinnhe","pa34 5ul","07799 608411","fish","seawater","high","182200","740800","15b - linnhe, firth of lorne, sound of mull and loch sunart","strathclyde","scottish sea farms ltd","lumpsucker, atlantic salmon, wrasse"
"2000405","hjaltland seafarms ltd","s","11-feb-14",NA,"13-feb-14","hu539631","atlantic salmon","grower fish (salmon only)",NA,"5.77kg","13-feb-14","25,000","hole in net - hol","05-mar-14","25,259","0","hole in net - hol","fs0946","16-mar-99","north voe","hu539631","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","low","453900","1163100","2a - vidlin voe, dury voe, w whalsay","shetland","grieg seafood shetland ltd","lumpsucker, atlantic salmon"
"2000449","grieg seafood shetland ltd","s","15-dec-16","10:00 am",NA,"hu466726","atlantic salmon","grower fish (salmon only)","16 months ","5.2kg","16-dec-16","2,000-3,000","human error - hum","29-dec-16","617","0","human error - hum","fs1027","01-nov-01","linga (setterness)","hu467727","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","medium","446700","1172700","2c - ne shetland mainland","shetland","grieg seafood shetland ltd","lumpsucker, atlantic salmon"
"2000138","marine harvest (scotland) ltd","s","28-dec-06","12:00",NA,"nb231026","atlantic salmon","grower fish (salmon only)","20 months ","3000g","08-jan-07","14,000","hole in net - hol","17-jan-07","11,900","0","hole in net - hol","fs1042","13-jun-02","seaforth","nb231032","western isles","yes","the old ruin","maaruig","isle of harris","hs3 3ag","01859 502789","fish","seawater","low","123100","903200","5b - se lewis, e harris","western isles","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker"
"2000440","grieg seafood shetland ltd","s","18-may-16","16:00","19-may-16","hu 480 714","atlantic salmon","grower fish (salmon only)","2015 s1","5.325","19-may-16","829","human error - hum","20-may-16","829","0","human error - hum","fs1076","12-mar-04","setterness north (bomlo)","hu479714","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","medium","447900","1171400","2c - ne shetland mainland","shetland","grieg seafood shetland ltd","atlantic salmon, lumpsucker"
"2000464","grieg seafood shetland ltd","s","01-dec-17","800","01-dec-17","hu481721","atlantic salmon","grower fish (salmon only)","12 months","2 kg","01-dec-17","0","predator - prd","20-dec-17","0","n/a","hole in net - hol","fs1076","12-mar-04","setterness north (bomlo)","hu479714","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","medium","447900","1171400","2c - ne shetland mainland","shetland","grieg seafood shetland ltd","lumpsucker, atlantic salmon"
"2000272","the scottish salmon company","s","13-nov-10","13:45","13-nov-10","nb193361","atlantic salmon","grower fish (salmon only)","30 months","4.5 kg","13-nov-10","5,800","hole in net - hol","16-nov-10","2766","0","hole in net - hol","fs1091","30-nov-05","vacasay","nb193361","western isles","yes","breasclete pier","breasclete","isle of lewis","hs2 9ed","01546 602172","fish","seawater","medium","119300","936100","6a - loch roag","western isles","the scottish salmon company","atlantic salmon, wrasse, lumpsucker"
"2000496","the scottish salmon company","s","03-sep-19",NA,"03-sep-19",NA,"atlantic salmon","grower fish (salmon only)","9 months","1.4kg","04-sep-19","0","predator - prd","04-sep-19","0","none - n/a no loss","predator - prd","fs1103","07-mar-07","vuia mor","nb126343","western isles","yes","miavaig pier","uig","isle of lewis","hs2 9hw","01546 602172","fish","seawater","medium","112600","934300","6a - loch roag","western isles","the scottish salmon company","wrasse, atlantic salmon, lumpsucker"
"2000476","marine harvest (scotland) ltd","s","02-aug-18","n/a","02-aug-18","nr816412","atlantic salmon","grower fish (salmon only)","11 months","2.7kg","03-aug-18","none","hole in net - hol","03-sep-18","0","0","hole in net - hol","fs1176","23-mar-10","eilean grianain","nr816412","argyll and bute","yes","marine harvest (scotland) ltd","the red shed","carradale argyll","pa28 6sb","01397 715032","fish","seawater","low","181600","641200","19c - e kintyre","strathclyde","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker"
"2000477","marine harvest (scotland) ltd","s","30-jul-18","n/a","30-jul-18","nr816412","atlantic salmon","grower fish (salmon only)","11","2.9kg","03-aug-18","none","hole in net - hol","03-sep-18","0","0","hole in net - hol","fs1176","23-mar-10","eilean grianain","nr816412","argyll and bute","yes","marine harvest (scotland) ltd","the red shed","carradale argyll","pa28 6sb","01397 715032","fish","seawater","low","181600","641200","19c - e kintyre","strathclyde","mowi scotland ltd","lumpsucker, atlantic salmon, wrasse"
"2000527","the scottish salmon company","s","04-dec-20",NA,"04-dec-20","ng184943","atlantic salmon","grower fish (salmon only)","13 months ","2.6 kg","04-dec-20","tbc","hole in net - hol",NA,NA,NA,NA,"fs1256","06-oct-11","plocrapol","ng184943","western isles","yes","meavag pier","isle of harris","western isles","n/a","01546 602172","fish","seawater","medium","118400","894300","5b - se lewis, e harris","western isles","the scottish salmon company","lumpsucker, atlantic salmon, wrasse"
