"Site.Name","Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escaped.Species","Stage","Age","Average.Weight","Initial.Escape.Reason","Final.Number.Escaped","Final.Number.Recovered","Marine.Scotland.Site.ID","Date.Registered","Local.Authority","Producing.in.Last.3.Years","Site.Post.Code","Health.Surveillance","MS.Management.Area","Species","Total.number.escaped","year","month","c2","c3","c4","c5","c6","c7"
"aird",2000225,"lighthouse caledonia ltd","s",2009-05-17,NA,"atlantic salmon","grower fish (salmon only)",24,2500,"hole in net - hol",17766,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","wrasse, atlantic salmon, lumpsucker",17766,2009,5,0.657,0.086,0.574875,0.015302787,0.087407723,0.067480805
"aird",2000225,"lighthouse caledonia ltd","s",2009-05-17,NA,"atlantic salmon","grower fish (salmon only)",24,2500,"hole in net - hol",17766,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","wrasse, atlantic salmon, lumpsucker",17766,2020,11,1.074,0.241,0.86457,0.01737226,0.057727969,0.080657646
"aird",2000225,"lighthouse caledonia ltd","s",2009-05-17,NA,"atlantic salmon","grower fish (salmon only)",24,2500,"hole in net - hol",17766,0,"fs0594",1989-04-17,"highland","yes","iv54 8xh","medium","11a - torridon","wrasse, atlantic salmon, lumpsucker",17766,1998,12,1.31,0.422,1.05848,0.016641652,0.08328429,0.130902984
"arbhair",2000091,"lewis salmon ltd","s",2004-05-10,"03:00","atlantic salmon","grower fish (salmon only)",18,3452,"equipment damage - eqd",4227,0,"fs0615",1996-06-14,"western isles","no",NA,"not applicable",NA,"wrasse, atlantic salmon",4227,2004,8,1.488,0.448,1.20528,0.01909342,0.073908562,0.13838695
"arbhair",2000091,"lewis salmon ltd","s",2004-05-10,"03:00","atlantic salmon","grower fish (salmon only)",18,3452,"equipment damage - eqd",4227,0,"fs0615",1996-06-14,"western isles","no",NA,"not applicable",NA,"wrasse, atlantic salmon",4227,2004,5,0.522,0.184,0.447354,0.016482975,0.065513913,0.042802376
"arbhair",2000087,"lewis salmon ltd","s",2004-08-11,"11:00","atlantic salmon","grower fish (salmon only)",20,4000,"equipment damage - eqd",10000,0,"fs0615",1996-06-14,"western isles","no",NA,"not applicable",NA,"wrasse, atlantic salmon",10000,2004,8,1.488,0.448,1.20528,0.01909342,0.073908562,0.13838695
"arbhair",2000087,"lewis salmon ltd","s",2004-08-11,"11:00","atlantic salmon","grower fish (salmon only)",20,4000,"equipment damage - eqd",10000,0,"fs0615",1996-06-14,"western isles","no",NA,"not applicable",NA,"wrasse, atlantic salmon",10000,2004,5,0.522,0.184,0.447354,0.016482975,0.065513913,0.042802376
"ardcastle bay",2000304,"the scottish salmon company","s",2011-10-07,NA,"atlantic salmon","salmon fresh water stages",10,80,"human error - hum",3317,0,"fs0818",1993-08-12,"argyll and bute","yes","pa32 8ya","medium","19a - fyne","lumpsucker, atlantic salmon, wrasse",3317,2011,10,1.751,0.554,1.511113,0.017654162,0.096566396,0.200000196
"ardchattan bay",2000220,"dawnfresh farming ltd","s",2009-01-29,NA,"rainbow trout","fish weighing more than 5 grams",19,2200,"predator - prd",4671,89,"fs0197",1993-04-23,"argyll and bute","no",NA,"high",NA,"rainbow trout",4582,2005,6,0.668,0.152,0.485636,0.017281023,0.086889163,0.069585685
"ardchattan bay",2000220,"dawnfresh farming ltd","s",2009-01-29,NA,"rainbow trout","fish weighing more than 5 grams",19,2200,"predator - prd",4671,89,"fs0197",1993-04-23,"argyll and bute","no",NA,"high",NA,"rainbow trout",4582,2008,2,1.923,0.64,1.398021,0.017992502,0.103386465,0.233411754
"ardchattan bay",2000220,"dawnfresh farming ltd","s",2009-01-29,NA,"rainbow trout","fish weighing more than 5 grams",19,2200,"predator - prd",4671,89,"fs0197",1993-04-23,"argyll and bute","no",NA,"high",NA,"rainbow trout",4582,2009,1,2.496,0.543,2.10912,0.01841531,0.102752161,0.302434007
"ardchattan bay",2000037,"mainstream scotland ltd","s",2005-06-27,"NA","rainbow trout","fish weighing more than 5 grams",24,3083,"hole in net - hol",2203,0,"fs0197",1993-04-23,"argyll and bute","no",NA,"high",NA,"rainbow trout",2203,2005,6,0.668,0.152,0.485636,0.017281023,0.086889163,0.069585685
"ardchattan bay",2000037,"mainstream scotland ltd","s",2005-06-27,"NA","rainbow trout","fish weighing more than 5 grams",24,3083,"hole in net - hol",2203,0,"fs0197",1993-04-23,"argyll and bute","no",NA,"high",NA,"rainbow trout",2203,2008,2,1.923,0.64,1.398021,0.017992502,0.103386465,0.233411754
"ardchattan bay",2000037,"mainstream scotland ltd","s",2005-06-27,"NA","rainbow trout","fish weighing more than 5 grams",24,3083,"hole in net - hol",2203,0,"fs0197",1993-04-23,"argyll and bute","no",NA,"high",NA,"rainbow trout",2203,2009,1,2.496,0.543,2.10912,0.01841531,0.102752161,0.302434007
"ardchattan bay",2000190,"kames fish farming ltd","s",2008-02-29,NA,"rainbow trout","fish weighing more than 5 grams",21,2500,"weather - wth",4047,2500,"fs0197",1993-04-23,"argyll and bute","no",NA,"high",NA,"rainbow trout",1547,2005,6,0.668,0.152,0.485636,0.017281023,0.086889163,0.069585685
